"","SampleID","HF","Depth","sample_mass_g","mg_C_per_sample","g_of_sample_mass","C_loss_as_CO2","week","mg_CO2C_per_sample","mineralizability","frac_C_remained"
"221","21","Low","1 cm",15.01,392.31800712963,80.5821,0.000636533666666667,"2",3.41726979218521,0.00871045868423794,0.991289541315762
"231","22","Low","1 cm",15,367.06187852338,80.5726,0.000580557666666667,"2",3.11846937688444,0.00849575932382151,0.991504240676178
"241","23","Low","1 cm",15.01,363.837539177348,80.5845,0.000772343666666667,"2",4.14649754873418,0.0113965633071001,0.9886034366929
"251","24","Low","1 cm",14.99,321.796911759561,80.5726,0.000798037666666667,"2",4.28952432963754,0.0133299114220293,0.986670088577971
"261","25","Low","1 cm",14.99,376.528062826892,80.5715,0.000584228666666667,"2",3.14023882697354,0.00833998614445175,0.991660013855548
"271","26","Low","5 cm",15.01,765.32772976509,80.9535,0.000307101666666667,"2",1.65629278964024,0.00216416147648096,0.997835838523519
"281","27","Low","5 cm",15,770.427604482291,80.9361,0.000403453666666667,"2",2.17693108738,0.00282561408069334,0.997174385919307
"291","28","Low","5 cm",15.01,774.408944938255,80.9435,0.000342889666666667,"2",1.84907992896958,0.00238773059254501,0.997612269407455
"301","29","Low","5 cm",15,777.6298067812,80.9524,0.000265808666666667,"2",1.43452330049778,0.00184473805914876,0.998155261940851
"311","30","Low","5 cm",15.01,769.116061377529,80.9513,0.000253879666666667,"2",1.36921312859649,0.00178024253731505,0.998219757462685
"331","31","Control","Surface",15.01,781.623063866952,80.9904,0.000223597666666667,"2",1.20647997750833,0.00154355728903324,0.998456442710967
"341","32","Control","Surface",14.99,774.665860569703,80.9957,0.000294255666666667,"2",1.58995621752057,0.00205244131495776,0.997947558685042
"351","33","Control","Surface",14.99,762.4007741146,80.9937,0.000292419666666667,"2",1.57999671488326,0.00207239652493553,0.997927603475064
"361","34","Control","Surface",14.99,798.125129606775,80.987,0.000298843666666667,"2",1.61457318427841,0.00202295745915667,0.997977042540843
"371","35","Control","Surface",15.01,772.739861994198,80.9879,0.000274067666666667,"2",1.47875847976238,0.00191365626712484,0.998086343732875
"381","36","Control","1 cm",14.99,793.386989797608,80.9959,0.000259384666666667,"2",1.40154066196575,0.00176652841550034,0.9982334715845
"391","37","Control","1 cm",15,768.583224259895,80.9954,0.000332795666666667,"2",1.79699454266222,0.00233806110508414,0.997661938894916
"401","38","Control","1 cm",15.01,797.33755634904,80.9892,0.000295172666666667,"2",1.59265810361093,0.00199747031972708,0.998002529680273
"411","39","Control","1 cm",15.02,787.84062546528,80.9856,0.000242867666666667,"2",1.3095062387217,0.00166214611990635,0.998337853880094
"421","40","Control","1 cm",15,766.449918282987,80.9873,0.000343807666666667,"2",1.85627030950889,0.00242190685291915,0.997578093147081
"431","41","Control","5 cm",15,791.87733451923,80.9989,0.000279572666666667,"2",1.50967189800444,0.00190644665808121,0.998093553341919
"441","42","Control","5 cm",15,799.744461446733,81.0049,0.000270396666666667,"2",1.46023032957778,0.0018258711375584,0.998174128862442
"451","43","Control","5 cm",14.99,783.862763637168,81.0072,0.000352983666666667,"2",1.90755293411608,0.00243352921277307,0.997566470787227
"461","44","Control","5 cm",15.01,772.897396772172,81.0012,0.000288749666666667,"2",1.55823247832112,0.00201609228447232,0.997983907715528
"471","45","Control","5 cm",14.99,813.18234471641,81.0033,0.000350230666666667,"2",1.89258437366244,0.00232738005929342,0.997672619940707
"110","1","High","Surface",15,5.812008694041,79.9293,0.00428486266666667,"4",22.8324049028533,3.92848774060906,-2.92848774060906
"212","2","High","Surface",15.01,7.29523833664,79.936,9.87636666666666e-05,"4",0.525967518898512,0.0720973729202053,0.927902627079795
"310","3","High","Surface",15,7.170989464278,79.9462,0.000125755666666667,"4",0.670245845231111,0.093466298977277,0.906533701022723
"49","4","High","Surface",14.99,6.8146703101575,79.9421,0.000180767666666667,"4",0.964039151796753,0.141465266538253,0.858534733461747
"52","5","High","Surface",15.01,9.275536711414,79.9132,0.000199547666666667,"4",1.06239124556074,0.114536902673612,0.885463097326388
"62","6","High","1 cm",15.01,6.621216277342,80.0126,9.00256666666666e-05,"4",0.479892582060848,0.0724780103774974,0.927521989622503
"72","7","High","1 cm",15,6.269465863646,80.0108,-3.52113333333334e-05,"4",-0.187819129937778,-0.0299577562144269,1.02995775621443
"82","8","High","1 cm",15,7.47493446916,80.0048,-5.40353333333334e-05,"4",-0.288205735751112,-0.0385562892812222,1.03855628928122
"92","9","High","1 cm",15.01,8.8062283291815,80.0079,2.01326666666666e-05,"4",0.107313283237841,0.012186066409638,0.987813933590362
"102","10","High","1 cm",15.01,7.442896933233,80.0091,1.89296666666666e-05,"4",0.100902437928048,0.0135568769570773,0.986443123042923
"112","11","High","5 cm",15,467.765705673567,80.7318,0.000820384666666667,"4",4.41540872216,0.00943935963796653,0.990560640362034
"122","12","High","5 cm",14.99,490.023153477871,80.7326,0.000859409666666667,"4",4.62857750868134,0.00944563022345099,0.990554369776549
"132","13","High","5 cm",14.99,482.641262526843,80.7282,0.000686965666666667,"4",3.69963320425617,0.00766538937198808,0.992334610628012
"142","14","High","5 cm",14.99,471.187206362453,80.7362,0.000998943666666667,"4",5.38031458710696,0.0114186347049674,0.988581365295033
"152","15","High","5 cm",15.01,453.942644224568,80.7316,0.000739435666666667,"4",3.97707025097046,0.00876117346887327,0.991238826531127
"172","16","Low","Surface",15,66.9359332921265,80.0597,5.17976666666666e-05,"4",0.276460376935555,0.00413022368313006,0.99586977631687
"182","17","Low","Surface",15,57.5552743843665,80.0639,0.000102024666666667,"4",0.544566180635555,0.00946162078906661,0.990538379210933
"192","18","Low","Surface",15.01,58.177099372644,80.0604,0.000138284666666667,"4",0.737583326262491,0.0126782416830035,0.987321758316997
"202","19","Low","Surface",15,69.594211836765,80.0667,0.000131389666666667,"4",0.70132913494,0.0100774061007399,0.98992259389926
"213","20","Low","Surface",15.01,63.9391802139855,80.0649,9.99766666666666e-05,"4",0.533285930646236,0.00834051873767361,0.991659481262326
"222","21","Low","1 cm",15.01,392.31800712963,80.5821,0.000821172666666667,"4",4.40851551916056,0.0112370970463864,0.988762902953614
"232","22","Low","1 cm",15,367.06187852338,80.5726,0.000723408666666666,"4",3.88579447572444,0.0105862109444769,0.989413789055523
"242","23","Low","1 cm",15.01,363.837539177348,80.5845,0.00100766266666667,"4",5.40985957108594,0.0148688878649462,0.985131112135054
"252","24","Low","1 cm",14.99,321.796911759561,80.5726,0.000982676666666667,"4",5.28197558323327,0.0164140033363025,0.983585996663698
"262","25","Low","1 cm",14.99,376.528062826892,80.5715,0.000749307666666666,"4",4.02754120512564,0.0106965233212306,0.989303476678769
"272","26","Low","5 cm",15.01,765.32772976509,80.9535,0.000417055666666667,"4",2.24930818864091,0.00293901305435687,0.997060986945643
"282","27","Low","5 cm",15,770.427604482291,80.9361,0.000546304666666667,"4",2.94771794212,0.00382608038051907,0.996173919619481
"292","28","Low","5 cm",15.01,774.408944938255,80.9435,0.000453732666666667,"4",2.44681612953586,0.00315959177063864,0.996840408229361
"302","29","Low","5 cm",15,777.6298067812,80.9524,0.000481566666666667,"4",2.59893182844444,0.00334211961241822,0.996657880387582
"312","30","Low","5 cm",15.01,769.116061377529,80.9513,0.000385171666666667,"4",2.07729161491228,0.00270088185545331,0.997299118144547
"332","31","Control","Surface",15.01,781.623063866952,80.9904,0.000299764666666667,"4",1.61745904458361,0.0020693594129394,0.997930640587061
"342","32","Control","Surface",14.99,774.665860569703,80.9957,0.000472671666666667,"4",2.5539941635646,0.00329689778982431,0.996703102210176
"352","33","Control","Surface",14.99,762.4007741146,80.9937,0.000381034666666667,"4",2.05879969857238,0.00270041658990094,0.997299583410099
"362","34","Control","Surface",14.99,798.125129606775,80.987,0.000379456666666667,"4",2.0501038734712,0.00256864969842669,0.997431350301573
"372","35","Control","Surface",15.01,772.739861994198,80.9879,0.000398247666666667,"4",2.14878362446591,0.00278073350444298,0.997219266495557
"382","36","Control","1 cm",14.99,793.386989797608,80.9959,0.000443134666666667,"4",2.39440234475428,0.00301795009944024,0.99698204990056
"392","37","Control","1 cm",15,768.583224259895,80.9954,0.000496985666666667,"4",2.68357019106222,0.00349158049038392,0.996508419509616
"402","38","Control","1 cm",15.01,797.33755634904,80.9892,0.000488702666666667,"4",2.636884611006,0.00330711201298498,0.996692887987015
"412","39","Control","1 cm",15.02,787.84062546528,80.9856,0.000358155666666667,"4",1.93112194130493,0.00245115811356447,0.997548841886436
"422","40","Control","1 cm",15,766.449918282987,80.9873,0.000517777666666667,"4",2.79556101490889,0.00364741511248582,0.996352584887514
"432","41","Control","5 cm",15,791.87733451923,80.9989,0.000362852666666667,"4",1.95937779080444,0.0024743450852701,0.99752565491473
"442","42","Control","5 cm",15,799.744461446733,81.0049,0.000393686666666667,"4",2.12603660431111,0.00265839490837501,0.997341605091625
"452","43","Control","5 cm",14.99,783.862763637168,81.0072,0.000485165666666667,"4",2.62187539645097,0.0033448143196461,0.996655185680354
"462","44","Control","5 cm",15.01,772.897396772172,81.0012,0.000472499666666667,"4",2.54983610923384,0.00329906158292504,0.996700938417075
"472","45","Control","5 cm",14.99,813.18234471641,81.0033,0.000395278666666667,"4",2.13601577182121,0.00262673653172602,0.997373263468274
"113","1","High","Surface",15,5.812008694041,79.9293,0.008838158,"8",47.09518548196,8.10308242144343,-7.10308242144343
"214","2","High","Surface",15.01,7.29523833664,79.936,0.00025132,"8",1.33840876215856,0.183463336000479,0.816536663999521
"313","3","High","Surface",15,7.170989464278,79.9462,0.000240933,"8",1.28411185364,0.179070386316526,0.820929613683474
"410","4","High","Surface",14.99,6.8146703101575,79.9421,0.000360675,"8",1.9234901212475,0.282257252912216,0.717742747087784
"53","5","High","Surface",15.01,9.275536711414,79.9132,0.000322018,"8",1.71442297385743,0.184832751699182,0.815167248300818
"63","6","High","1 cm",15.01,6.621216277342,80.0126,0.000272668,"8",1.45348938153231,0.219519997633395,0.780480002366605
"73","7","High","1 cm",15,6.269465863646,80.0108,0.000121904,"8",0.650242437546666,0.103715763302445,0.896284236697555
"83","8","High","1 cm",15,7.47493446916,80.0048,1.28219999999999e-05,"8",0.0683881030399995,0.00914899031184211,0.990851009688158
"93","9","High","1 cm",15.01,8.8062283291815,80.0079,0.00019457,"8",1.03711772838108,0.117770933209209,0.882229066790791
"103","10","High","1 cm",15.01,7.442896933233,80.0091,0.000218894,"8",1.16678960262492,0.156765519271821,0.843234480728179
"114","11","High","5 cm",15,467.765705673567,80.7318,0.001190836,"8",6.40922225232,0.0137017788490735,0.986298221150927
"123","12","High","5 cm",14.99,490.023153477871,80.7326,0.001166042,"8",6.28002684250834,0.0128157757402619,0.987184224259738
"133","13","High","5 cm",14.99,482.641262526843,80.7282,0.001052858,"8",5.67013550337558,0.0117481366464398,0.98825186335356
"143","14","High","5 cm",14.99,471.187206362453,80.7362,0.001460564,"8",7.86660355015344,0.0166952825627065,0.983304717437294
"153","15","High","5 cm",15.01,453.942644224568,80.7316,0.001057009,"8",5.68514508890073,0.0125239282125877,0.987476071787412
"173","16","Low","Surface",15,66.9359332921265,80.0597,4.57199999999999e-05,"8",0.2440219656,0.00364560488811027,0.99635439511189
"183","17","Low","Surface",15,57.5552743843665,80.0639,0.000274638,"8",1.46590595788,0.0254695329587062,0.974530467041294
"193","18","Low","Surface",15.01,58.177099372644,80.0604,0.000296311,"8",1.58046483573618,0.0271664426858542,0.972833557314146
"203","19","Low","Surface",15,69.594211836765,80.0667,0.000275741,"8",1.47184479498,0.0211489541462478,0.978851045853752
"215","20","Low","Surface",15.01,63.9391802139855,80.0649,0.000235211,"8",1.2546399196469,0.0196223960871565,0.980377603912844
"223","21","Low","1 cm",15.01,392.31800712963,80.5821,0.001211681,"8",6.5049833117988,0.0165808940542702,0.98341910594573
"233","22","Low","1 cm",15,367.06187852338,80.5726,0.000912433,"8",4.90113994238667,0.0133523534563246,0.986647646543675
"243","23","Low","1 cm",15.01,363.837539177348,80.5845,0.001430992,"8",7.68259659053964,0.0211154588608705,0.97888454113913
"253","24","Low","1 cm",14.99,321.796911759561,80.5726,0.00133307,"8",7.16537130633756,0.0222667497557943,0.977733250244206
"263","25","Low","1 cm",14.99,376.528062826892,80.5715,0.000983005,"8",5.28366826934623,0.0140326015269024,0.985967398473098
"273","26","Low","5 cm",15.01,765.32772976509,80.9535,0.000555025,"8",2.99341880996003,0.00391129014870378,0.996088709851296
"283","27","Low","5 cm",15,770.427604482291,80.9361,0.000722565,"8",3.8987728731,0.00506053112637349,0.994939468873626
"293","28","Low","5 cm",15.01,774.408944938255,80.9435,0.000649139,"8",3.50057179523651,0.00452031425788298,0.995479685742117
"303","29","Low","5 cm",15,777.6298067812,80.9524,0.000710705,"8",3.83555169613333,0.00493236198340907,0.995067638016591
"314","30","Low","5 cm",15.01,769.116061377529,80.9513,0.000629809,"8",3.39665938052632,0.00441631575661379,0.995583684243386
"333","31","Control","Surface",15.01,781.623063866952,80.9904,0.000614602,"8",3.31624662363757,0.00424276966346283,0.995757230336537
"343","32","Control","Surface",14.99,774.665860569703,80.9957,0.000730073,"8",3.94481478893262,0.00509227912280985,0.99490772087719
"353","33","Control","Surface",14.99,762.4007741146,80.9937,0.000707724,"8",3.8239616636958,0.00501568439268269,0.994984315607317
"363","34","Control","Surface",14.99,798.125129606775,80.987,0.000604949,"8",3.26837923035357,0.00409507119762518,0.995904928802375
"373","35","Control","Surface",15.01,772.739861994198,80.9879,0.000662031,"8",3.57205199366422,0.00462258021017045,0.99537741978983
"383","36","Control","1 cm",14.99,793.386989797608,80.9959,0.000757972,"8",4.09557200232155,0.00516213658024103,0.994837863419759
"393","37","Control","1 cm",15,768.583224259895,80.9954,0.000838263,"8",4.52636313268,0.0058892296758606,0.994110770324139
"403","38","Control","1 cm",15.01,797.33755634904,80.9892,0.000797159,"8",4.30121716740839,0.00539447456495516,0.994605525435045
"413","39","Control","1 cm",15.02,787.84062546528,80.9856,0.000516182,"8",2.78317636346205,0.00353266418803724,0.996467335811963
"423","40","Control","1 cm",15,766.449918282987,80.9873,0.000733241,"8",3.95888058928667,0.00516521757632307,0.994834782423677
"433","41","Control","5 cm",15,791.87733451923,80.9989,0.000557347,"8",3.00963292788667,0.00380063021972197,0.996199369780278
"443","42","Control","5 cm",15,799.744461446733,81.0049,0.00059821,"8",3.23052941526667,0.00403945206375379,0.995960547936246
"453","43","Control","5 cm",14.99,783.862763637168,81.0072,0.000800915,"8",4.32821091314209,0.00552164372888304,0.994478356271117
"463","44","Control","5 cm",15.01,772.897396772172,81.0012,0.000671552,"8",3.62401851181879,0.00468887400443276,0.995311125995567
"473","45","Control","5 cm",14.99,813.18234471641,81.0033,0.000626241,"8",3.38409523651101,0.00416154538831162,0.995838454611688
"115","1","High","Surface",15,5.812008694041,79.9293,0.013219983,"12",70.44426581346,12.1204680725419,-11.1204680725419
"216","2","High","Surface",15.01,7.29523833664,79.936,0.000179225,"12",0.954465662891406,0.130834061732794,0.869165938267206
"315","3","High","Surface",15,7.170989464278,79.9462,0.000242096,"12",1.29031034901333,0.179934771267056,0.820065228732944
"414","4","High","Surface",14.99,6.8146703101575,79.9421,0.000415038,"12",2.21340955969313,0.324800681317476,0.675199318682524
"54","5","High","Surface",15.01,9.275536711414,79.9132,0.000368532,"12",1.96206338590273,0.211530981650724,0.788469018349276
"64","6","High","1 cm",15.01,6.621216277342,80.0126,0.000263366,"12",1.40390395813458,0.212031128319849,0.787968871680151
"74","7","High","1 cm",15,6.269465863646,80.0108,0.000159696,"12",0.851826981119999,0.135869147331894,0.864130852668106
"84","8","High","1 cm",15,7.47493446916,80.0048,7.32889999999998e-05,"12",0.390898119146666,0.0522945212107783,0.947705478789222
"94","9","High","1 cm",15.01,8.8062283291815,80.0079,0.00028905,"12",1.5407250829447,0.174958566295533,0.825041433704467
"104","10","High","1 cm",15.01,7.442896933233,80.0091,0.000268896,"12",1.43331958385077,0.192575498049812,0.807424501950188
"116","11","High","5 cm",15,467.765705673567,80.7318,0.001403925,"12",7.556092821,0.016153584432017,0.983846415567983
"124","12","High","5 cm",14.99,490.023153477871,80.7326,0.001418376,"12",7.6390381759573,0.0155891372106405,0.984410862789359
"134","13","High","5 cm",14.99,482.641262526843,80.7282,0.001313041,"12",7.07134332596397,0.0146513443316933,0.985348655668307
"144","14","High","5 cm",14.99,471.187206362453,80.7362,0.001665803,"12",8.9720216256571,0.0190413099178154,0.980958690082185
"154","15","High","5 cm",15.01,453.942644224568,80.7316,0.001286668,"12",6.92037084002665,0.0152450335479015,0.984754966452098
"174","16","Low","Surface",15,66.9359332921265,80.0597,-4.99220000000001e-05,"12",-0.266449356226667,-0.00398066245022401,1.00398066245022
"184","17","Low","Surface",15,57.5552743843665,80.0639,0.000284522,"12",1.51866273038667,0.0263861608971701,0.97361383910283
"194","18","Low","Surface",15.01,58.177099372644,80.0604,0.000317533,"12",1.69365882699534,0.0291121222140499,0.97088787778595
"204","19","Low","Surface",15,69.594211836765,80.0667,0.000265567,"12",1.41753822126,0.020368622387518,0.979631377612482
"217","20","Low","Surface",15.01,63.9391802139855,80.0649,0.000244223,"12",1.30271086427049,0.0203742190611562,0.979625780938844
