"","SampleID","a","b","p_a","p_b","R_squared","a_StdErr","b_StdErr","treatments","HF","Depth"
"96",31,0.00821047147101504,0.0856400732779893,0.0228368229146934,0.0649441236470102,0.989147578125497,0.00189997461211211,0.0300165740417532,"Control Surface","Control","Surface"
"101",32,0.00757177642169082,0.145130363442551,0.000185466523263,0.00131037949304799,0.998441794359605,0.000332505182293802,0.01230578884795,"Control Surface","Control","Surface"
"106",33,0.00922988318532106,0.0982338020040097,0.0133896462029913,0.0462400480245951,0.989313622131647,0.00175482378657372,0.0299007441123373,"Control Surface","Control","Surface"
"111",34,0.00637252445888855,0.141700397079786,0.00751543488288049,0.0427857581911315,0.981318992773916,0.000986004587017522,0.0418037845720805,"Control Surface","Control","Surface"
"116",35,0.00752725025166131,0.122814321791044,0.00199707737583101,0.0103814263510335,0.99493680306048,0.000736548763835812,0.0213092808609619,"Control Surface","Control","Surface"
"121",36,0.0084728711330023,0.11424017920717,0.000147175459831148,0.000731083222333934,0.99929695990227,0.000344358651598688,0.00795229330980052,"Control 1 cm","Control","1 cm"
"126",37,0.00945000789636758,0.123082988753259,0.00108470782665973,0.00578705826775523,0.996658691599173,0.000751589059987733,0.0173766242075883,"Control 1 cm","Control","1 cm"
"131",38,0.00792205104366043,0.13993062636694,5.11911457031134e-05,0.000345285666834838,0.999408385187569,0.0002262056264664,0.00756833534452051,"Control 1 cm","Control","1 cm"
"136",39,0.00572272764299859,0.139206410689015,0.00588632955401127,0.0336353664691912,0.985066913735833,0.000812737912499105,0.0373469280220945,"Control 1 cm","Control","1 cm"
"141",40,0.00626825389251776,0.226016271441678,4.19393521742337e-05,0.000624085378321201,0.998322003661668,0.000167456418772057,0.0149160364041385,"Control 1 cm","Control","1 cm"
"146",41,0.0053329637065703,0.1714522415761,0.00286338753948672,0.0235266531789453,0.984566394021544,0.00059026726805359,0.0401214805858093,"Control 5 cm","Control","5 cm"
"151",42,0.00599257516859329,0.152288481457105,0.00149100224122166,0.0107202779115523,0.992720536193318,0.000530877655364748,0.0267283933016243,"Control 5 cm","Control","5 cm"
"156",43,0.00788976202688006,0.15235269693529,0.00149572527283474,0.0107593279078605,0.992733465942859,0.000699699092759286,0.0267744620755992,"Control 5 cm","Control","5 cm"
"161",44,0.00675004548043169,0.163892599387332,0.000564502586815676,0.00472610474662766,0.995507059163742,0.000430673186931508,0.0215630973347364,"Control 5 cm","Control","5 cm"
"166",45,0.00532395685690776,0.206209866408622,0.00404601996950538,0.041866344301849,0.969562661854661,0.000663765748373565,0.0603087477609407,"Control 5 cm","Control","5 cm"
