SampleID,labelID,rep,HF,Depth,WHC,inoculant_added_g,stir,sample_mass_g,KOH_concentration_M,KOH_volume_mL,start_date,start_time,end_time,EC_raw_ms/cm,EC_final_2wk_ms/cm,T,EC_sat_ms/cm,C-CO2_g,note,
15,60,2,High,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.138,22.7,5.4596,0.001128692,,
B1-2,B1-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,12:47,10.368,9.785,22.5,5.4596,0.000534982,,
16,61,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,1:05,,10.368,9.805,23.3,5.4596,0.000516629,,
17,62,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.665,23.6,5.4596,0.000645098,,
18,63,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.703,23.5,5.4596,0.000610228,,
19,64,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.633,23.1,5.4596,0.000674463,,
20,65,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.768,23.1,5.4596,0.000550582,,
21,66,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.109,23.1,5.4596,0.001155304,,
22,67,2,Low,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.17,23.2,5.4596,0.001099328,,
23,68,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,8.961,23.4,5.4596,0.001291114,,
24,69,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,8.933,23.7,5.4596,0.001316808,,
25,70,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.166,23.4,5.4596,0.001102999,,
26,71,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.468,23.1,5.4596,0.000825872,,
27,72,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.363,23.2,5.4596,0.000922224,,
28,73,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.429,23.1,5.4596,0.00086166,,
29,74,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.513,23.2,5.4596,0.000784579,,
30,75,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.526,23.3,5.4596,0.00077265,,
B2-2,B2-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,1:41,10.368,9.71,23.2,5.4596,0.000603805,,
31,76,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,1:59,,10.368,9.559,23.8,5.4596,0.000742368,,
32,77,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.482,23.9,5.4596,0.000813026,,
33,78,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.484,23.9,5.4596,0.00081119,,
34,79,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.477,23.3,5.4596,0.000817614,,
35,80,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.504,23,5.4596,0.000792838,,
36,81,2,Control,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.52,22.9,5.4596,0.000778155,,
37,82,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.44,23.1,5.4596,0.000851566,,
38,83,2,Control,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.481,23,5.4596,0.000813943,,
39,84,2,Control,1 cm,55%,2.05,y,15.02,0.05,15,2/21/23,,,10.368,9.538,23,5.4596,0.000761638,,
40,85,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.428,23,5.4596,0.000862578,,
41,86,2,Control,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.498,22.9,5.4596,0.000798343,,
42,87,2,Control,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.368,9.508,22.8,5.4596,0.000789167,,
43,88,2,Control,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.418,23,5.4596,0.000871754,,
44,89,2,Control,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.368,9.488,22.7,5.4596,0.00080752,,
45,90,2,Control,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.368,9.421,23.1,5.4596,0.000869001,,blank
B3-2,B3-2,2,blank sand,,55%,2.05,y,14.99,0.05,15,2/21/23,,2:35,10.368,9.913,22.7,5.4596,0.000417524,,0.00051877
,,,,,,,,,,,,,,,,,,,,
"for rep2 of the experiment, I used 5g soil and 250 ml of water for vortex because there was a big aggregate I can’t break up – it turned out to be a rock, and the soil has a lot of particulate this time, like pieces of chars and little sticks, I added all the soil solution into the inoculant in the end",,,,,,,,,,,,,,,,,,,,
I also filtered twice just in case some particles might leak from the top edge of the filter paper,,,,,,,,,,,,,,,,,,,,
